id,name,age,role,salary,debt,tax_rate,email
0,Vivian Mueller,46,Developer,2103095,True,0.2156725866737345,mwvifw@example.com
1,Maria Mccarthy,25,Developer,1909009,True,0.2637684037980832,jchbjw@example.com
2,Shawn Frye,23,Designer,2123713,False,0.1863471362220399,yrsglzs@example.com
3,Ralph Eaton,22,Manager,6650459,True,0.21661706519740695,mvadz@example.com
4,Jennifer Banks,27,Analyst,7258553,True,0.1383316128234932,lsalcasylk@example.com
5,Benjamin Moore,40,Designer,6951918,True,0.1975367368275894,tmatedgkgp@example.com
6,Melodie Smith,41,Analyst,6296039,True,0.1631116806419727,kzegebhlc@example.com
7,Larry Johnson,47,Designer,4949473,False,0.10497845872816092,dpunopueu@example.com
8,Dennis Cobb,25,Developer,7260301,False,0.17311485392998027,cdscskqfq@example.com
9,John Hardiman,39,Designer,6249541,True,0.15208735249106833,ezmllaph@example.com
10,Chris Tomlinson,51,Developer,3657322,False,0.12341138894628781,ccepsnrkn@example.com
11,Frank Jackson,43,Developer,8144816,True,0.2472604252025208,aeotampbwi@example.com
12,Carl Witherite,50,Designer,2236289,False,0.24896798292389613,zzthfjtuvk@example.com
13,Jorge Saucedo,35,Developer,3912499,False,0.1785853289452362,hdvjgcenns@example.com
14,Pamela Arrington,24,Designer,7357773,True,0.12005007522623018,hkdvgvaiun@example.com
15,Mark Corbitt,46,Manager,5129435,True,0.2582308340711218,gimwgju@example.com
16,Hope Thompson,53,Developer,5688780,True,0.2102358331042724,bhxzo@example.com
17,Nathan Gomez,35,Analyst,5714561,True,0.23881860202831895,wlqucbfu@example.com
18,Nathan Mccormick,41,Designer,6691533,True,0.11094078791046998,ogzbwipt@example.com
19,Patsy Chase,43,Analyst,6729509,True,0.2705544231546677,rqwjbzcp@example.com
20,Thomas Hart,26,Developer,8955875,True,0.1488580910350996,xsrpfwf@example.com
21,Bill Covington,28,Developer,6473731,True,0.1529361971831642,vpmgdgdlvn@example.com
22,Teresa Whitfield,59,Manager,7489496,True,0.26146224383448047,weavqjksi@example.com
23,Cordelia Dodd,26,Analyst,7251857,False,0.29329099473830156,byttbpz@example.com
24,Carmen Manuel,34,Analyst,2098391,False,0.1514578196166157,hepzmbq@example.com
25,Walter Puckett,29,Developer,6624916,False,0.22451647706894884,kpgil@example.com
26,Alice Gross,26,Analyst,2881848,False,0.15870993209045467,rqofcjvcu@example.com
27,Walter Lutz,47,Developer,8569908,True,0.15320005704901854,esjyileb@example.com
28,Martha Thompson,38,Manager,8827092,True,0.1659393831716361,nuqda@example.com
29,Shannon Blain,44,Designer,6745749,False,0.243804739029761,ldjwnuxy@example.com
30,Lillie Roque,52,Analyst,2471661,True,0.27849458618646894,jrowrlt@example.com
31,Tyrone Seiber,58,Developer,1654743,False,0.19010373809597086,fvvyk@example.com
32,Marian Bickham,24,Manager,7701382,False,0.14753041019325047,eivwi@example.com
33,Stephen Gray,51,Manager,6081350,True,0.21103256178099344,xkfmxirwby@example.com
34,Bettina Cranford,59,Designer,3319503,True,0.26037091243623145,pgnbuer@example.com
35,Matthew Solesbee,56,Analyst,2369758,False,0.2433894179452833,qwibdu@example.com
36,Joe Delligatti,59,Developer,7106594,True,0.2359858900311124,sqwdwmffxh@example.com
37,Georgia Lueck,26,Developer,4174013,False,0.13992301479316785,morkg@example.com
38,Esther Dennison,42,Analyst,5443855,False,0.28247058604259756,vvwunxr@example.com
39,Manuel Adelstein,35,Developer,7355290,True,0.25330067510585336,etfuqykpv@example.com
40,Amber Dwyer,50,Manager,6237720,True,0.20005163682726612,armitq@example.com
41,Ruby Michael,25,Manager,6241998,True,0.12859439221715824,zmcwmemehl@example.com
42,Antoinette James,44,Designer,2547077,True,0.25517945779032425,ygjmdurorj@example.com
43,Joan Chenault,52,Manager,8561442,True,0.19815218843320148,lzuizm@example.com
44,Jennifer Cordial,27,Manager,3714549,False,0.2195650902107562,tudiww@example.com
45,Joseph Ma,42,Analyst,8854308,False,0.13388533960620944,csiqiiif@example.com
46,Mary Taylor,46,Analyst,2994959,True,0.2966057947653836,rxbjvodsrw@example.com
47,Brenda Talerico,56,Manager,2753206,False,0.19531514582823356,lwwdlkriq@example.com
48,Melissa Barrentine,34,Designer,3554175,False,0.24295191042995806,yyandgnbh@example.com
49,Austin Ardon,42,Designer,4378828,False,0.145429834086549,vpdzanwh@example.com
50,John Hildreth,42,Manager,7843875,False,0.25972329343099454,iidsndwwod@example.com
51,Andrew Walker,47,Developer,2102209,True,0.2704011108795842,kgcajbinqi@example.com
52,Phyllis Furnas,29,Manager,2941435,True,0.10592316036753043,jhibon@example.com
53,Clayton Kraemer,55,Designer,1988365,False,0.25179883642451373,ipmlnye@example.com
54,Rick Pettiway,31,Designer,3462750,True,0.14489445531438278,tfmfltxgf@example.com
55,Russell Rivas,47,Designer,7927109,True,0.2026856024591168,batylqqy@example.com
56,Melissa Hammer,60,Designer,6686933,True,0.2336843466514915,kmwuylamf@example.com
57,Ronald Holder,39,Developer,8697786,True,0.2508186932851679,mxhkkwp@example.com
58,Arlena Shuster,49,Developer,5321788,False,0.17057060212343,suypfhiqgc@example.com
59,Marlene Weinberger,52,Designer,7725584,True,0.1265760473424738,vlkks@example.com
60,Charlene Easterday,31,Developer,2484723,False,0.25728287352482904,hyusfprvre@example.com
61,Jim Watson,46,Developer,3727224,False,0.26833761221157987,qmelnba@example.com
62,Alexis Atlas,25,Manager,2437738,False,0.16805176897336727,wffsguwlaj@example.com
63,David Mara,43,Manager,7202294,False,0.2341534465279146,atkzzzfc@example.com
64,Juanita Mackey,40,Manager,8259123,False,0.20718589418547806,qykwqwzuiw@example.com
65,Dean Spears,27,Manager,8371614,False,0.29925044890918717,ndaaj@example.com
66,Joyce Jacobs,50,Developer,7429161,True,0.26320383833280947,awpwhyj@example.com
67,James Chiarelli,22,Analyst,6917670,False,0.19198321336016816,twayhxmk@example.com
68,Darlene Young,46,Designer,7745489,False,0.19967369083484882,wgzbmmiuc@example.com
69,Kenneth Richardson,31,Analyst,4318149,False,0.19043817303872188,mumvszecl@example.com
70,Magdalene Henderson,39,Developer,4519612,True,0.11181566202922677,hajeg@example.com
71,Mary Swanson,56,Manager,5941654,True,0.2122132430590833,igrdzpmxki@example.com
72,Leon Yang,30,Designer,2112003,True,0.16359520530731658,gnutuh@example.com
73,Linda Justice,32,Developer,6389351,True,0.2562356555668403,akoqb@example.com
74,Dexter Ramos,51,Developer,6175130,False,0.17610579405662657,ywitty@example.com
75,Christina Anderson,51,Manager,4641474,False,0.17990116603415007,civvfwc@example.com
76,Joshua Miller,59,Developer,2695152,True,0.10721229690961825,zqpvg@example.com
77,Cheryl Vanover,33,Manager,6190725,False,0.2738742589503414,bhrdtosna@example.com
78,Elaine Kolb,42,Developer,7519853,True,0.2367681564267565,pfommt@example.com
79,Gayle Hillegas,33,Manager,6426294,False,0.11997926814429152,oxpkb@example.com
80,Jose Spomer,35,Developer,2678123,True,0.12571410186256265,isugolwbvn@example.com
81,Irene Lawson,22,Analyst,4349422,True,0.12339694955842065,votkkln@example.com
82,Maggie Bailey,52,Developer,5137593,False,0.15951564138227464,ppdbdykt@example.com
83,William Christopher,51,Developer,3532473,False,0.13113681435483807,dtckjj@example.com
84,Mary Gomer,31,Designer,8175817,False,0.18943746933181932,gljbjs@example.com
85,Aurora Woodyard,40,Analyst,5121541,False,0.293386218736049,hrfjea@example.com
86,Kevin Serrano,40,Manager,3038289,True,0.28800774788489614,fyepyxcy@example.com
87,Daniel Carr,34,Designer,8084878,True,0.2113668938411049,sxqnorq@example.com
88,Derek Stewart,25,Designer,2918023,False,0.2525537575961078,ulncd@example.com
89,Jerald Anderson,48,Developer,8982878,False,0.11626905174919185,ckfbw@example.com
90,Frances Dickson,32,Analyst,6377277,True,0.11016888589655771,nnjnmkyr@example.com
91,Timothy Dominguez,30,Designer,2992265,True,0.12572287642309454,wafocmta@example.com
92,Susan Board,42,Manager,3044838,True,0.24639073909198958,gigvxe@example.com
93,Julian Rodgers,42,Designer,6982156,True,0.2085727721061577,dxwufxjk@example.com
94,Danny Costley,22,Developer,5797647,False,0.14029335418472025,cyqopy@example.com
95,William Buchanan,50,Manager,4417505,False,0.19085208556828503,unacdcp@example.com
96,Virginia Fleming,26,Manager,3749215,True,0.14414675458649795,huqxxito@example.com
97,Christie Campbell,26,Designer,4699431,True,0.2981078105892987,beyjje@example.com
98,Edward Carrillo,42,Manager,7583821,True,0.13195515294364896,sfdmzoblds@example.com
99,Jeanette Robbins,29,Manager,6499794,False,0.16458994098517626,uvnunl@example.com
100,Linda Wales,52,Designer,5696837,False,0.1814921174040212,hafhjgtyxr@example.com
101,Patrica Garcia,28,Developer,8668039,False,0.1873161120295072,ddvwfitgkd@example.com
102,Eve Juett,50,Analyst,3666955,False,0.23932913979619544,kjccppc@example.com
103,Gaston Mitchell,31,Designer,2600118,True,0.1276418107025792,ghjxniongj@example.com
104,Howard Kuhn,57,Designer,5938293,True,0.22471060852762154,fefzyxq@example.com
105,Betty Talley,55,Manager,4880105,True,0.10989287591066746,haujxi@example.com
106,Ruth Garcia,35,Manager,2877363,True,0.2975105307572023,jfuvvppvyl@example.com
107,Robin Berti,49,Designer,1684707,True,0.11385376860542802,apsmveft@example.com
108,Steven Walling,25,Manager,8678229,False,0.2617096673096925,oqtqekd@example.com
109,Tanya Berube,53,Analyst,5759486,True,0.11937265625963996,kiwahpl@example.com
110,Booker Cook,35,Manager,8452614,True,0.1342899730673718,efzecpa@example.com
111,Frank Gatlin,29,Designer,3564928,False,0.19870329707400033,igityxzi@example.com
112,Robert Farrell,24,Developer,7311439,True,0.24956946631496527,jqqywgfrf@example.com
113,Brian Kaplan,55,Designer,7367679,True,0.2940749652642755,czpash@example.com
114,William Usher,46,Analyst,7930621,True,0.1635613710942029,zisexgj@example.com
115,Michael Gonzales,53,Analyst,7886313,True,0.1409093314094169,uzopohzn@example.com
116,Jasmine Fitzgerald,24,Developer,5768002,True,0.17877625226147614,xpjuopl@example.com
117,William Frazier,31,Designer,5196546,True,0.19734626253400583,aceaokro@example.com
118,Dorothy Mckinley,35,Analyst,8919911,True,0.25780686964598043,wohmo@example.com
119,Nicholas Davis,24,Manager,3254812,True,0.21412049691567886,yswmfauw@example.com
120,Ronald Miller,23,Manager,6410959,False,0.16575811299618898,jthtrgda@example.com
121,Robert Anderson,32,Designer,6757936,True,0.2463106979812316,hqdmobcenp@example.com
122,Mary Williams,22,Developer,3001408,False,0.20158750318286578,kjwgkpvcnv@example.com
123,Jessica Hildreth,51,Developer,5132976,False,0.2611337828335631,nfidg@example.com
124,John Graham,52,Developer,4917785,False,0.1573357778670808,gtjubrbn@example.com
125,Kathy Williams,23,Designer,7368417,True,0.2686924501169158,qmykdyzl@example.com
126,Joyce Bailey,44,Analyst,3354855,True,0.2357971146425062,uetruqgan@example.com
127,Marie Rodriguez,58,Analyst,8482543,True,0.14636009526997334,vewxbd@example.com
128,Arthur Licursi,47,Analyst,7267858,True,0.27101016078716206,fkvpss@example.com
129,Andrew Clark,53,Developer,3473971,False,0.17512427972426967,zdprcnmkkl@example.com
130,Thomas Byrnes,60,Developer,6199016,False,0.2300372563171627,ozmpvfdf@example.com
131,Douglas Delmoro,49,Analyst,2832105,False,0.19692955184336108,eqsso@example.com
132,Danny Degroat,56,Manager,2329603,False,0.12760920323589847,vmltqmybgm@example.com
133,Karen Alton,48,Manager,3993288,False,0.18102835545820867,uvncgg@example.com
134,Patricia Newburn,39,Developer,4606688,True,0.2968323338702984,iqjminiy@example.com
135,Nathan Hunt,39,Developer,8463719,True,0.2636481121464148,zdqredsg@example.com
136,Richard Than,26,Analyst,5936763,True,0.26185923160367175,mcfui@example.com
137,Steven Ibarra,57,Manager,3687350,False,0.23431162572293188,smfupdwvci@example.com
138,Florence Woods,36,Designer,3640604,True,0.11434364828898043,jozwuteqyv@example.com
139,Cassandra Sanders,36,Analyst,8912435,False,0.2993943129922063,hwhjzxhi@example.com
140,Nathan Gonsalves,34,Developer,2629726,False,0.175943318935137,swtsqaj@example.com
141,Karl Johnson,34,Analyst,8298319,False,0.2662643553477346,pfbfbgos@example.com
142,Albert Quince,51,Designer,7201121,True,0.1431653248479772,uvmeecrh@example.com
143,Daniel Shams,56,Analyst,6169208,True,0.1566937754450558,qsqlbhmjo@example.com
144,Aaron Terrell,49,Analyst,3410940,True,0.22234430447366416,mlufehpgi@example.com
